question,gold_sql,initial_predicted_sql,initial_exact_match,initial_execution_match,final_predicted_sql,final_exact_match,final_execution_match
Count the number of spectroscopic objects that has equivalent width estimates of galactic-stars.,select count(sp.specobjid) from spplines as sp join specobj as s on sp.specobjid = s.specobjid,SELECT count(sp.specobjid) from spplines as sp join specobj as s on sp.specobjid = s.specobjid,True,True,SELECT count(sp.specobjid) from spplines as sp join specobj as s on sp.specobjid = s.specobjid,True,True
"Find the number of photometrically observed GALAXY whose magnitude r is less than 17, extinction r is greater than 0.2.",select count(*) from photoobj as p join photo_type as pt on p.type = pt.value where p.r < 17 and p.extinction_r > 0.2 and pt.name = 'GALAXY',SELECT count(*) FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'GALAXY' AND p.r < 17 AND p.extinction_r > 0.2,False,True,SELECT count(*) FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value WHERE pt.name = 'GALAXY' AND p.r < 17 AND p.extinction_r > 0.2,False,True
Fetch the right ascension and declination of spectroscopic objects those have equivalent width estimates of galactic-stars,"select p.ra, p.dec, p.type from spplines as sp join specobj as s on sp.specobjid = s.specobjid join photoobj as p on p.objid = s.bestobjid","select p.ra, p.dec, p.type from spplines as sp join specobj as s on sp.specobjid = s.specobjid join photoobj as p on p.objid = s.bestobjid",True,False,"SELECT p.ra, p.dec, p.type FROM spplines AS sp JOIN specobj AS s ON sp.specobjid = s.specobjid JOIN photoobj AS p ON p.objid = s.bestobjid",True,False
"Find redshift, right ascension and declination of all photometrically observed Starforming Galaxy","SELECT T1.z, T1.ra, T1.dec FROM specobj AS T1 JOIN photoobj AS T2 ON T1.bestobjid = T2.objid JOIN photo_type AS T3 ON T2.type = T3.value WHERE T1.subclass = 'STARFORMING' AND T3.name = 'GALAXY'","SELECT T1.z, T1.ra, T1.dec FROM specobj AS T1 JOIN photoobj AS T2 ON T1.bestobjid = T2.objid JOIN photo_type AS T3 ON T2.type = T3.value WHERE T1.subclass = 'STARFORMING' AND T3.name = 'GALAXY'",True,True,"SELECT T1.z, T1.ra, T1.dec FROM specobj AS T1 JOIN photoobj AS T2 ON T1.bestobjid = T2.objid JOIN photo_type AS T3 ON T2.type = T3.value WHERE T1.subclass = 'STARFORMING' AND T3.name = 'GALAXY'",True,True
Count the photometrically observable STAR,select count(*) from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'STAR',select count(p.objid) from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'STAR',False,True,select count(p.objid) from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'STAR',False,True
"Show me the spectroscopically observable Galaxy with magnitude g between 17 and 18, and redshift below 0.05. Retrieve the object id, right ascension and declination of them.","select p.objid, p.ra, p.dec from photoobj as p join specobj as s on s.bestobjid = p.objid where s.class = 'GALAXY' and p.g between 17 and 18 and s.z < 0.05","select p.objid, p.ra, p.dec from photoobj as p join specobj as s on s.bestobjid = p.objid where s.class = 'GALAXY' and p.g between 17 and 18 and s.z < 0.05",True,True,"select p.objid, p.ra, p.dec from photoobj as p join specobj as s on s.bestobjid = p.objid where s.class = 'GALAXY' and p.g between 17 and 18 and s.z < 0.05",True,True
"What is the star in photometrically observed binary star system, of which the neighbor's distance is less than 0.05 and has the following constraints in its color bands, u - g < 0.4, g - r < 0.7, r - i > 0.4 and i - z > 0.4 ",select p.objid from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'STAR' and (p.u - p.g) < 0.4 and (p.g - p.r) < 0.7 and  (p.r - p.i) > 0.4 and (p.i - p.z) > 0.4 and p.objid in (select n.objid from neighbors as n join photo_type as pt on n.neighbortype = pt.value where n.distance < 0.05 and pt.name = 'STAR'),SELECT p.objid FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value JOIN neighbors AS n ON p.objid = n.objid WHERE pt.name = 'STAR' AND n.distance < 0.05 AND p.u - p.g < 0.4 AND p.g - p.r < 0.7 AND p.r - p.i > 0.4 AND p.i - p.z > 0.4,False,False,SELECT p.objid FROM photoobj AS p JOIN photo_type AS pt ON p.type = pt.value JOIN neighbors AS n ON p.objid = n.objid WHERE pt.name = 'STAR' AND n.distance < 0.05 AND p.u - p.g < 0.4 AND p.g - p.r < 0.7 AND p.r - p.i > 0.4 AND p.i - p.z > 0.4,False,False
"Show me the object id, right ascension and declination of photometrically observed Galaxy, of which the the right ascension in a range of from 140.9 to 141.1, the magnitude g is less than 18.0 and the difference of magnitude u and g is higher than 2.2","select objid, ra, dec from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY' and p.ra between 140.9 and 141.1 and p.g < 18.0 and p.u - p.g > 2.2","select objid, ra, dec from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY' and p.ra between 140.9 and 141.1 and p.g < 18.0 and p.u - p.g > 2.2",True,True,"select objid, ra, dec from photoobj as p join photo_type as pt on p.type = pt.value where pt.name = 'GALAXY' and p.ra between 140.9 and 141.1 and p.g < 18.0 and p.u - p.g > 2.2",True,True
What is the equivalent width estimates of galactic-stars of spectroscopic objects,select sp.specobjid from spplines as sp join specobj as s on sp.specobjid = s.specobjid,select sp.specobjid from spplines as sp join specobj as s on sp.specobjid = s.specobjid,True,True,select sp.specobjid from spplines as sp join specobj as s on sp.specobjid = s.specobjid,True,True
"Fetch me the object id, right ascension, declination, and redshift of spectroscopic observed star in a certain area, of which the right ascension is in an unbouded interval of 185 and 186, declination is in an unbouded interval of 15 and 16.","select p.objid, p.ra, p.dec, s.z from Photoobj as p join specobj as s on s.bestobjid = p.objid where s.ra > 185 and s.ra < 186 AND s.dec > 15 and s.dec < 16 and s.class = 'STAR'","select p.objid, p.ra, p.dec, s.z from Photoobj as p join specobj as s on s.bestobjid = p.objid where s.ra > 185 and s.ra < 186 AND s.dec > 15 and s.dec < 16 and s.class = 'STAR'",True,True,"select p.objid, p.ra, p.dec, s.z from Photoobj as p join specobj as s on s.bestobjid = p.objid where s.ra > 185 and s.ra < 186 AND s.dec > 15 and s.dec < 16 and s.class = 'STAR'",True,True
